main_model,gate_feature,quantile,direction,cutoff,gate_rate,specialist,train_acc,train_bacc,train_f1,train_auc,threshold
Elastic+LGBM Blend,TSH_3M,0.8,high,25.66300000000001,0.2,ET,0.8037735849056604,0.772668990952573,0.6941176470588235,0.8487293263412666,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.8,high,9.179,0.2,ET,0.8037735849056604,0.772668990952573,0.6941176470588235,0.8468780614303003,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT4_last,0.8,high,412.5851017323921,0.2,ET,0.8037735849056604,0.7716713248429666,0.6929133858267716,0.8478072955684895,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.85,high,215.39882,0.1509433962264151,ET,0.8037735849056604,0.7706736587333602,0.691699604743083,0.8481530571082809,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.85,high,1.0052972550711188,0.1509433962264151,ET,0.8037735849056604,0.7696759926237537,0.6904761904761905,0.8512865210626406,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.8,high,0.8649654304420734,0.2,RF,0.8037735849056604,0.7686783265141475,0.6892430278884463,0.8506022013484699,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT4_last,0.9,high,638.0448261023314,0.10062893081761007,ET,0.8037735849056604,0.767680660404541,0.688,0.8465467066213335,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.7,high,119.17380937420468,0.30062893081761005,ET,0.8037735849056604,0.7646876620757218,0.6842105263157895,0.846986111911485,0.42999999999999977
Elastic+LGBM Blend,ThyroidW,0.8,high,45.42,0.2,RF,0.8037735849056604,0.7626923298565089,0.6816326530612244,0.8502276263470293,0.4249999999999998
Elastic+LGBM Blend,TRAb_x_FT4_last,0.7,high,290.0668799999999,0.30062893081761005,ET,0.8037735849056604,0.7626923298565089,0.6816326530612244,0.8480017864346221,0.42999999999999977
Elastic+LGBM Blend,TPOAb,0.65,high,775.3930062477515,0.34968553459119495,ET,0.8037735849056604,0.7457320059932,0.6578947368421053,0.8470365354693714,0.5599999999999998
